Interval_Type,Direction,Continuation_Tone,Trained_M,Trained_SE,Untrained_M,Untrained_SE
Major_Second,Ascending,1,3.58,0.31,2.75,0.51
Major_Second,Ascending,2,2.08,0.36,2.25,0.30
Major_Second,Ascending,3,2.58,0.40,2.50,0.26
Major_Second,Ascending,4,3.83,0.59,4.08,0.47
Major_Second,Ascending,5,3.00,0.44,3.17,0.32
Major_Second,Ascending,6,5.33,0.45,5.58,0.26
Major_Second,Ascending,7,2.58,0.38,3.33,0.36
Major_Second,Ascending,8,4.17,0.34,4.83,0.37
Major_Second,Ascending,9,5.25,0.39,5.25,0.35
Major_Second,Ascending,10,4.92,0.43,4.83,0.42
Major_Second,Ascending,11,4.42,0.38,5.08,0.34
Major_Second,Ascending,12,3.42,0.34,2.92,0.45
Major_Second,Ascending,13,4.42,0.31,5.50,0.29
Major_Second,Ascending,14,6.00,0.28,5.08,0.34
Major_Second,Ascending,15,5.92,0.40,5.33,0.36
Major_Second,Ascending,16,5.75,0.33,5.67,0.33
Major_Second,Ascending,17,4.25,0.37,3.17,0.42
Major_Second,Ascending,18,5.42,0.43,5.08,0.23
Major_Second,Ascending,19,2.92,0.31,3.67,0.43
Major_Second,Ascending,20,4.00,0.35,5.25,0.49
Major_Second,Ascending,21,4.17,0.42,4.00,0.35
Major_Second,Ascending,22,4.00,0.46,3.33,0.53
Major_Second,Ascending,23,3.17,0.42,3.00,0.49
Major_Second,Ascending,24,1.75,0.22,2.17,0.44
Major_Second,Ascending,25,3.25,0.43,3.33,0.45
Major_Second,Descending,1,3.92,0.43,2.67,0.33
Major_Second,Descending,2,1.75,0.33,1.83,0.24
Major_Second,Descending,3,2.75,0.33,3.08,0.47
Major_Second,Descending,4,2.42,0.19,2.75,0.30
Major_Second,Descending,5,3.08,0.45,3.25,0.37
Major_Second,Descending,6,5.33,0.31,4.33,0.43
Major_Second,Descending,7,2.92,0.40,2.83,0.24
Major_Second,Descending,8,4.58,0.47,5.00,0.35
Major_Second,Descending,9,3.50,0.42,3.50,0.45
Major_Second,Descending,10,5.50,0.26,4.83,0.32
Major_Second,Descending,11,5.67,0.41,5.25,0.33
Major_Second,Descending,12,4.75,0.45,4.42,0.53
Major_Second,Descending,13,4.67,0.40,5.42,0.36
Major_Second,Descending,14,3.50,0.47,3.83,0.47
